UniqID_NUCL,N_COM_X,N_COM_Y,N_Orient
08-0133_f1_0005_3949.1_1226.42,3949.1,1226.42,0.909416
08-0133_f1_0005_3939.56_1222.02,3939.56,1222.02,0.370626
08-0133_f1_0005_3962.76_1220.81,3962.76,1220.81,0.969743
08-0133_f1_0005_3947.5_1219.46,3947.5,1219.46,0.249881
08-0133_f1_0005_3954.5_1219.38,3954.5,1219.38,-0.844158
08-0133_f1_0005_3935.06_1213.03,3935.06,1213.03,0.147266
08-0133_f1_0005_3950.17_1209.54,3950.17,1209.54,-0.375448
08-0133_f1_0005_3810.11_1206.75,3810.11,1206.75,0.678124
08-0133_f1_0005_3799_1209,3799,1209,-0.737502
08-0133_f1_0005_3815.03_1209.84,3815.03,1209.84,0.775548
08-0133_f1_0005_3940.96_1206.03,3940.96,1206.03,0.051274
08-0133_f1_0005_3954.14_1202.19,3954.14,1202.19,-0.14552
08-0133_f1_0005_3803.69_1202.8,3803.69,1202.8,-0.032373
08-0133_f1_0005_3950.59_1204.36,3950.59,1204.36,-0.481124
08-0133_f1_0005_3920.43_1203.02,3920.43,1203.02,1.02166
08-0133_f1_0005_3814.42_1200.36,3814.42,1200.36,-0.253062
08-0133_f1_0005_3806.94_1202.65,3806.94,1202.65,-0.875107
08-0133_f1_0005_3827.46_1199.21,3827.46,1199.21,-0.081062
08-0133_f1_0005_3768.52_1199.69,3768.52,1199.69,0.294379
08-0133_f1_0005_3808.5_1199.22,3808.5,1199.22,-1.39375
08-0133_f1_0005_3885.96_1195.67,3885.96,1195.67,1.17801
08-0133_f1_0005_3919.96_1197.07,3919.96,1197.07,1.11485
08-0133_f1_0005_3958.4_1195.13,3958.4,1195.13,-0.452122
08-0133_f1_0005_3910.55_1197.41,3910.55,1197.41,-1.51781
08-0133_f1_0005_3940.18_1195.11,3940.18,1195.11,-0.132686
08-0133_f1_0005_3763.76_1196.31,3763.76,1196.31,-1.43479
08-0133_f1_0005_3773.79_1195.44,3773.79,1195.44,1.11562
08-0133_f1_0005_3824.35_1195.53,3824.35,1195.53,0.472065
08-0133_f1_0005_3815.48_1194.22,3815.48,1194.22,-0.501071
08-0133_f1_0005_3749.86_1195.23,3749.86,1195.23,-1.05976
08-0133_f1_0005_3820.43_1195.17,3820.43,1195.17,-0.198159
08-0133_f1_0005_3801.11_1191.37,3801.11,1191.37,0.617949
08-0133_f1_0005_3766.1_1193.1,3766.1,1193.1,-0.327888
08-0133_f1_0005_3877.72_1191.99,3877.72,1191.99,-0.074845
08-0133_f1_0005_3909.5_1191.37,3909.5,1191.37,0.948294
08-0133_f1_0005_3895.05_1190.16,3895.05,1190.16,0.241233
08-0133_f1_0005_3918.42_1191,3918.42,1191,-1.23081
08-0133_f1_0005_3941.93_1189.86,3941.93,1189.86,0.244684
08-0133_f1_0005_3790.86_1184.38,3790.86,1184.38,-0.779747
08-0133_f1_0005_3948.18_1186.24,3948.18,1186.24,0.060225
08-0133_f1_0005_3773.2_1184.9,3773.2,1184.9,-0.194539
08-0133_f1_0005_3889.94_1184.65,3889.94,1184.65,0.11943
08-0133_f1_0005_3821.35_1184.6,3821.35,1184.6,0.016368
08-0133_f1_0005_3805.44_1176.23,3805.44,1176.23,-1.00586
08-0133_f1_0005_3899.06_1185.3,3899.06,1185.3,-0.560662
08-0133_f1_0005_3884.4_1181.75,3884.4,1181.75,0.039364
08-0133_f1_0005_3732.34_1182.69,3732.34,1182.69,-0.87023
08-0133_f1_0005_3936.37_1180.23,3936.37,1180.23,0.376701
08-0133_f1_0005_3899.12_1180.72,3899.12,1180.72,-1.50776
08-0133_f1_0005_3915.82_1177.93,3915.82,1177.93,-1.28364
08-0133_f1_0005_3894.53_1177.78,3894.53,1177.78,0.837307
08-0133_f1_0005_3766.17_1176.72,3766.17,1176.72,-0.642541
08-0133_f1_0005_3778_1172.39,3778,1172.39,0.389942
08-0133_f1_0005_3811.52_1172.07,3811.52,1172.07,-0.14928
08-0133_f1_0005_3856.12_1174.24,3856.12,1174.24,-1.34934
08-0133_f1_0005_3951.2_1172.35,3951.2,1172.35,0.018028
08-0133_f1_0005_3889.72_1175.58,3889.72,1175.58,1.52067
