UniqID_NUCL,N_COM_X,N_COM_Y,N_Orient
07-0289_f1_0002_-2415.42_-6545.01,-2415.42,-6545.01,-0.1479
07-0289_f1_0002_-2401.12_-6543.81,-2401.12,-6543.81,-0.32464
07-0289_f1_0002_-2388.66_-6543.91,-2388.66,-6543.91,-1.40284
07-0289_f1_0002_-2359.38_-6545.78,-2359.38,-6545.78,0.192705
07-0289_f1_0002_-2462.54_-6545.97,-2462.54,-6545.97,-0.457385
07-0289_f1_0002_-2407.82_-6544.5,-2407.82,-6544.5,0.465075
07-0289_f1_0002_-2379.35_-6546.06,-2379.35,-6546.06,-1.3809
07-0289_f1_0002_-2457.13_-6548.32,-2457.13,-6548.32,-0.680896
07-0289_f1_0002_-2446.81_-6547.69,-2446.81,-6547.69,0.737429
07-0289_f1_0002_-2366.37_-6550.02,-2366.37,-6550.02,0.514842
07-0289_f1_0002_-2397.37_-6547.88,-2397.37,-6547.88,-0.560608
07-0289_f1_0002_-2391.99_-6549,-2391.99,-6549,0.225985
07-0289_f1_0002_-2421.03_-6546.98,-2421.03,-6546.98,0.73581
07-0289_f1_0002_-2344.76_-6549.41,-2344.76,-6549.41,-1.53266
07-0289_f1_0002_-2328.09_-6549.29,-2328.09,-6549.29,1.26745
07-0289_f1_0002_-2428.48_-6549.18,-2428.48,-6549.18,1.35309
07-0289_f1_0002_-2439.47_-6552.41,-2439.47,-6552.41,0.182089
07-0289_f1_0002_-2410.7_-6548.67,-2410.7,-6548.67,-0.550071
07-0289_f1_0002_-2403.17_-6551.28,-2403.17,-6551.28,0.136881
07-0289_f1_0002_-2450.3_-6551.99,-2450.3,-6551.99,0.817289
07-0289_f1_0002_-2408.13_-6551.13,-2408.13,-6551.13,-0.573824
07-0289_f1_0002_-2382.44_-6551.17,-2382.44,-6551.17,-0.751912
07-0289_f1_0002_-2349.26_-6551.99,-2349.26,-6551.99,-1.38417
07-0289_f1_0002_-2418.7_-6555.54,-2418.7,-6555.54,0.427954
07-0289_f1_0002_-2356.84_-6553.86,-2356.84,-6553.86,-0.813153
07-0289_f1_0002_-2412.77_-6554.19,-2412.77,-6554.19,0.999696
07-0289_f1_0002_-2338.44_-6554.18,-2338.44,-6554.18,0.250524
07-0289_f1_0002_-2396.99_-6553.95,-2396.99,-6553.95,-1.23933
07-0289_f1_0002_-2455.44_-6556.26,-2455.44,-6556.26,0.652492
07-0289_f1_0002_-2469.84_-6555.61,-2469.84,-6555.61,0.985504
07-0289_f1_0002_-2424.42_-6557.84,-2424.42,-6557.84,0.433586
