UniqID_NUCL,N_COM_X,N_COM_Y,N_Orient
07-0195_f2_0011_-1126.4_-4192.61,-1126.4,-4192.61,-0.787228
07-0195_f2_0011_-1130.81_-4192.69,-1130.81,-4192.69,-0.251749
07-0195_f2_0011_-1139.25_-4194.2,-1139.25,-4194.2,0.438107
07-0195_f2_0011_-1165.63_-4195.7,-1165.63,-4195.7,0.170174
07-0195_f2_0011_-1128.53_-4196.78,-1128.53,-4196.78,0.921301
07-0195_f2_0011_-1177.6_-4198.63,-1177.6,-4198.63,-1.51529
07-0195_f2_0011_-1133.58_-4198.59,-1133.58,-4198.59,1.09151
07-0195_f2_0011_-1124.49_-4197.42,-1124.49,-4197.42,-0.03901
07-0195_f2_0011_-1170.4_-4200.99,-1170.4,-4200.99,-0.409666
07-0195_f2_0011_-1162.35_-4201.52,-1162.35,-4201.52,-1.18531
07-0195_f2_0011_-1154.83_-4200.4,-1154.83,-4200.4,1.36954
07-0195_f2_0011_-1117.18_-4201.02,-1117.18,-4201.02,1.34804
07-0195_f2_0011_-1102.75_-4202.13,-1102.75,-4202.13,1.469
07-0195_f2_0011_-1123.71_-4202.02,-1123.71,-4202.02,1.07263
07-0195_f2_0011_-1112.5_-4204.11,-1112.5,-4204.11,-1.36648
07-0195_f2_0011_-1178.28_-4208.54,-1178.28,-4208.54,0.332849
07-0195_f2_0011_-1154.08_-4205.54,-1154.08,-4205.54,-1.18814
07-0195_f2_0011_-1093.58_-4208.07,-1093.58,-4208.07,0.774465
07-0195_f2_0011_-1117.72_-4207.59,-1117.72,-4207.59,0.69549
07-0195_f2_0011_-1109.7_-4207.24,-1109.7,-4207.24,-1.41547
07-0195_f2_0011_-1147.9_-4208.17,-1147.9,-4208.17,-0.997152
07-0195_f2_0011_-1164.74_-4209.27,-1164.74,-4209.27,1.52045
07-0195_f2_0011_-1124.15_-4207.15,-1124.15,-4207.15,1.54721
07-0195_f2_0011_-1102.71_-4206.77,-1102.71,-4206.77,-1.45447
07-0195_f2_0011_-1313.43_-4211.03,-1313.43,-4211.03,-0.974492
07-0195_f2_0011_-1304.95_-4211.7,-1304.95,-4211.7,-0.552312
07-0195_f2_0011_-1126.92_-4210.45,-1126.92,-4210.45,1.39752
07-0195_f2_0011_-1109.11_-4210.97,-1109.11,-4210.97,-1.39977
07-0195_f2_0011_-1072.18_-4214.19,-1072.18,-4214.19,0.472525
07-0195_f2_0011_-1300.25_-4213.38,-1300.25,-4213.38,-0.730328
07-0195_f2_0011_-1152.62_-4211.83,-1152.62,-4211.83,-1.13721
07-0195_f2_0011_-1100.68_-4212.3,-1100.68,-4212.3,1.01897
07-0195_f2_0011_-1084.86_-4217.11,-1084.86,-4217.11,0.20271
07-0195_f2_0011_-1189.33_-4213.96,-1189.33,-4213.96,-0.544669
07-0195_f2_0011_-1148.85_-4215.15,-1148.85,-4215.15,-1.23759
07-0195_f2_0011_-1133.32_-4215.33,-1133.32,-4215.33,0.039013
07-0195_f2_0011_-1311.05_-4217.41,-1311.05,-4217.41,-0.299653
07-0195_f2_0011_-1162.27_-4214.82,-1162.27,-4214.82,-1.30254
07-0195_f2_0011_-1112.77_-4214.8,-1112.77,-4214.8,1.47006
07-0195_f2_0011_-1141.13_-4216.71,-1141.13,-4216.71,-0.115741
07-0195_f2_0011_-1127.64_-4215.14,-1127.64,-4215.14,-1.4638
07-0195_f2_0011_-1298.09_-4218.36,-1298.09,-4218.36,-0.818159
07-0195_f2_0011_-1102.96_-4218.08,-1102.96,-4218.08,-1.56902
07-0195_f2_0011_-1061.57_-4219.86,-1061.57,-4219.86,1.03504
07-0195_f2_0011_-1272.58_-4222.4,-1272.58,-4222.4,-0.633937
07-0195_f2_0011_-1283.5_-4225.39,-1283.5,-4225.39,-0.232335
07-0195_f2_0011_-1095.01_-4220.63,-1095.01,-4220.63,0.755773
07-0195_f2_0011_-1263.99_-4220.9,-1263.99,-4220.9,-0.606815
07-0195_f2_0011_-1152.18_-4222.71,-1152.18,-4222.71,1.47709
07-0195_f2_0011_-1067.7_-4220.41,-1067.7,-4220.41,1.3342
07-0195_f2_0011_-1258.83_-4225.47,-1258.83,-4225.47,-1.4899
07-0195_f2_0011_-1250.93_-4225.51,-1250.93,-4225.51,-0.582532
07-0195_f2_0011_-1242.95_-4225.41,-1242.95,-4225.41,-0.375947
07-0195_f2_0011_-1315.24_-4224.28,-1315.24,-4224.28,-0.019067
07-0195_f2_0011_-1080.04_-4224.23,-1080.04,-4224.23,-0.79835
07-0195_f2_0011_-1072.7_-4224.62,-1072.7,-4224.62,-1.01566
07-0195_f2_0011_-1097.64_-4223.45,-1097.64,-4223.45,0.958771
07-0195_f2_0011_-1296.55_-4226.73,-1296.55,-4226.73,0.476959
07-0195_f2_0011_-1103.25_-4224.06,-1103.25,-4224.06,-1.34793
07-0195_f2_0011_-1269.11_-4226.09,-1269.11,-4226.09,-0.126174
07-0195_f2_0011_-1235.54_-4224.88,-1235.54,-4224.88,-0.755289
07-0195_f2_0011_-1061.44_-4226.09,-1061.44,-4226.09,1.35287
07-0195_f2_0011_-1265.16_-4230.01,-1265.16,-4230.01,-0.138306
07-0195_f2_0011_-1279.57_-4228.82,-1279.57,-4228.82,-0.246432
07-0195_f2_0011_-1052.29_-4229.04,-1052.29,-4229.04,-0.473909
07-0195_f2_0011_-1100.91_-4227.54,-1100.91,-4227.54,-1.49538
07-0195_f2_0011_-1087.96_-4230.37,-1087.96,-4230.37,-0.279992
07-0195_f2_0011_-1234.32_-4229.2,-1234.32,-4229.2,-1.18544
07-0195_f2_0011_-1288.76_-4232.16,-1288.76,-4232.16,-0.192133
07-0195_f2_0011_-1098.43_-4235.56,-1098.43,-4235.56,-0.155585
07-0195_f2_0011_-1146.3_-4231.45,-1146.3,-4231.45,0.708821
07-0195_f2_0011_-1298.56_-4232.17,-1298.56,-4232.17,1.18668
07-0195_f2_0011_-1153.34_-4232.59,-1153.34,-4232.59,0.597419
07-0195_f2_0011_-1274.99_-4234.59,-1274.99,-4234.59,-0.470538
07-0195_f2_0011_-1261.53_-4235.22,-1261.53,-4235.22,-0.323461
07-0195_f2_0011_-1047.65_-4234.1,-1047.65,-4234.1,-0.313795
07-0195_f2_0011_-1245.65_-4233.03,-1245.65,-4233.03,1.49111
07-0195_f2_0011_-1138_-4238.74,-1138,-4238.74,0.801688
07-0195_f2_0011_-1042.18_-4233.91,-1042.18,-4233.91,-0.281763
07-0195_f2_0011_-1229.35_-4235.92,-1229.35,-4235.92,-0.830035
07-0195_f2_0011_-1104.17_-4236.5,-1104.17,-4236.5,0.356384
07-0195_f2_0011_-1036.91_-4234.2,-1036.91,-4234.2,1.53301
07-0195_f2_0011_-1318.24_-4233.72,-1318.24,-4233.72,1.3857
07-0195_f2_0011_-1237.81_-4234.2,-1237.81,-4234.2,-1.16127
07-0195_f2_0011_-1252.23_-4236.1,-1252.23,-4236.1,-0.210237
07-0195_f2_0011_-1257.46_-4238.03,-1257.46,-4238.03,-0.279085
07-0195_f2_0011_-1146.88_-4239.75,-1146.88,-4239.75,0.942597
07-0195_f2_0011_-1309.91_-4239.26,-1309.91,-4239.26,1.2769
07-0195_f2_0011_-1124.28_-4240.66,-1124.28,-4240.66,0.072085
07-0195_f2_0011_-1090.18_-4242.49,-1090.18,-4242.49,-0.436725
07-0195_f2_0011_-1238.86_-4241.16,-1238.86,-4241.16,-1.129
07-0195_f2_0011_-1247.39_-4242.85,-1247.39,-4242.85,0.096272
07-0195_f2_0011_-1317.63_-4241.52,-1317.63,-4241.52,0.624379
07-0195_f2_0011_-1040.65_-4241.37,-1040.65,-4241.37,0.286965
07-0195_f2_0011_-1152.66_-4244.28,-1152.66,-4244.28,0.899843
07-0195_f2_0011_-1045.78_-4240.7,-1045.78,-4240.7,1.45657
07-0195_f2_0011_-1027.47_-4240.41,-1027.47,-4240.41,0.814889
07-0195_f2_0011_-1129.36_-4242,-1129.36,-4242,0.036097
07-0195_f2_0011_-1159.17_-4246.62,-1159.17,-4246.62,1.05281
07-0195_f2_0011_-1272.48_-4246.31,-1272.48,-4246.31,-0.044355
07-0195_f2_0011_-1254.56_-4244.42,-1254.56,-4244.42,0.25688
07-0195_f2_0011_-1031.64_-4243.48,-1031.64,-4243.48,1.10285
07-0195_f2_0011_-1022.15_-4244.67,-1022.15,-4244.67,0.422343
07-0195_f2_0011_-1106.59_-4249.4,-1106.59,-4249.4,0.405706
07-0195_f2_0011_-1103.19_-4243.05,-1103.19,-4243.05,0.493254
07-0195_f2_0011_-1313.02_-4243.61,-1313.02,-4243.61,-1.33319
07-0195_f2_0011_-1304.2_-4248.29,-1304.2,-4248.29,-1.27909
07-0195_f2_0011_-1198.27_-4245.41,-1198.27,-4245.41,0.971962
07-0195_f2_0011_-1132.64_-4248.28,-1132.64,-4248.28,0.318704
07-0195_f2_0011_-1321.14_-4247.51,-1321.14,-4247.51,-1.27981
07-0195_f2_0011_-1235.11_-4248.79,-1235.11,-4248.79,-0.922575
07-0195_f2_0011_-1310.57_-4246.88,-1310.57,-4246.88,-0.679358
07-0195_f2_0011_-1126.06_-4247.76,-1126.06,-4247.76,1.08927
07-0195_f2_0011_-1113.11_-4249.2,-1113.11,-4249.2,-0.054579
07-0195_f2_0011_-1224.62_-4254.01,-1224.62,-4254.01,-0.564973
07-0195_f2_0011_-1195.41_-4250.56,-1195.41,-4250.56,-0.187108
07-0195_f2_0011_-1086.96_-4249.31,-1086.96,-4249.31,-1.53464
07-0195_f2_0011_-1159.85_-4254.68,-1159.85,-4254.68,0.859694
07-0195_f2_0011_-1210.3_-4251.52,-1210.3,-4251.52,-0.714052
07-0195_f2_0011_-1242.99_-4251.22,-1242.99,-4251.22,-0.441007
07-0195_f2_0011_-1024.19_-4252.88,-1024.19,-4252.88,-0.324921
07-0195_f2_0011_-939.594_-4251.5,-939.594,-4251.5,0.976315
07-0195_f2_0011_-1309.43_-4251.96,-1309.43,-4251.96,-0.808846
07-0195_f2_0011_-1267.39_-4250.92,-1267.39,-4250.92,1.43877
07-0195_f2_0011_-1096.41_-4251.53,-1096.41,-4251.53,-0.679955
07-0195_f2_0011_-1015.47_-4252.82,-1015.47,-4252.82,0.444957
07-0195_f2_0011_-1248.17_-4251,-1248.17,-4251,-0.808477
07-0195_f2_0011_-931.602_-4252.51,-931.602,-4252.51,1.30652
07-0195_f2_0011_-1201.11_-4252.68,-1201.11,-4252.68,0.087333
07-0195_f2_0011_-1190.22_-4260.69,-1190.22,-4260.69,0.07128
07-0195_f2_0011_-1257.25_-4254.36,-1257.25,-4254.36,1.08824
07-0195_f2_0011_-1168.3_-4258.27,-1168.3,-4258.27,0.62756
07-0195_f2_0011_-1117.86_-4254.93,-1117.86,-4254.93,0.086171
07-0195_f2_0011_-1315.82_-4252.31,-1315.82,-4252.31,-1.0576
07-0195_f2_0011_-955.17_-4254.19,-955.17,-4254.19,1.35684
07-0195_f2_0011_-946.073_-4254.17,-946.073,-4254.17,0.71136
07-0195_f2_0011_-1110.81_-4256.58,-1110.81,-4256.58,-0.146078
07-0195_f2_0011_-962.312_-4255.19,-962.312,-4255.19,-0.945874
07-0195_f2_0011_-1231.01_-4258.63,-1231.01,-4258.63,-0.472484
07-0195_f2_0011_-1090.75_-4254.83,-1090.75,-4254.83,-1.31445
07-0195_f2_0011_-1322.64_-4254.07,-1322.64,-4254.07,-0.978341
07-0195_f2_0011_-1303.66_-4256.31,-1303.66,-4256.31,1.53373
07-0195_f2_0011_-1129.58_-4254.96,-1129.58,-4254.96,-1.22005
07-0195_f2_0011_-1236.96_-4257.66,-1236.96,-4257.66,-0.670394
07-0195_f2_0011_-1141.6_-4255.72,-1141.6,-4255.72,0.799796
07-0195_f2_0011_-1134.13_-4257.73,-1134.13,-4257.73,0.439275
07-0195_f2_0011_-1248.98_-4255.31,-1248.98,-4255.31,-0.692121
07-0195_f2_0011_-1315.37_-4258.46,-1315.37,-4258.46,-1.01582
07-0195_f2_0011_-1147.1_-4257.25,-1147.1,-4257.25,0.722669
07-0195_f2_0011_-933.286_-4259.72,-933.286,-4259.72,1.48019
07-0195_f2_0011_-1245.02_-4258.63,-1245.02,-4258.63,-0.342622
07-0195_f2_0011_-1199.17_-4258.53,-1199.17,-4258.53,-0.12832
07-0195_f2_0011_-1120.89_-4259.66,-1120.89,-4259.66,0.614672
07-0195_f2_0011_-1086.17_-4258.96,-1086.17,-4258.96,-1.25467
07-0195_f2_0011_-950.02_-4259.17,-950.02,-4259.17,-1.34726
07-0195_f2_0011_-961.064_-4259.84,-961.064,-4259.84,-0.828646
07-0195_f2_0011_-1226.2_-4265.85,-1226.2,-4265.85,-0.227484
07-0195_f2_0011_-1125.34_-4260.44,-1125.34,-4260.44,0.442022
07-0195_f2_0011_-1161.59_-4261.94,-1161.59,-4261.94,0.369158
07-0195_f2_0011_-968.412_-4259.99,-968.412,-4259.99,-0.915333
07-0195_f2_0011_-1148.8_-4266.37,-1148.8,-4266.37,0.687908
07-0195_f2_0011_-1140.81_-4263.07,-1140.81,-4263.07,0.210476
07-0195_f2_0011_-1297.89_-4261.92,-1297.89,-4261.92,1.38595
07-0195_f2_0011_-943.519_-4265.6,-943.519,-4265.6,-0.244807
07-0195_f2_0011_-1308.39_-4262.2,-1308.39,-4262.2,-1.34641
07-0195_f2_0011_-1184.88_-4265.08,-1184.88,-4265.08,0.35172
07-0195_f2_0011_-980.626_-4263.23,-980.626,-4263.23,-0.957216
07-0195_f2_0011_-1196.29_-4265.47,-1196.29,-4265.47,-0.021378
07-0195_f2_0011_-1127.46_-4263.59,-1127.46,-4263.59,0.390728
07-0195_f2_0011_-954.832_-4264.5,-954.832,-4264.5,-0.026824
07-0195_f2_0011_-1091.72_-4266.28,-1091.72,-4266.28,-1.48593
07-0195_f2_0011_-1167.07_-4265.05,-1167.07,-4265.05,0.885513
07-0195_f2_0011_-1237.86_-4263.52,-1237.86,-4263.52,-0.835287
07-0195_f2_0011_-1288.6_-4266.65,-1288.6,-4266.65,-1.44916
07-0195_f2_0011_-1200.18_-4264.09,-1200.18,-4264.09,0.223803
07-0195_f2_0011_-975.096_-4264.45,-975.096,-4264.45,0.285437
07-0195_f2_0011_-915.555_-4265.41,-915.555,-4265.41,1.51754
07-0195_f2_0011_-1131.47_-4265.21,-1131.47,-4265.21,0.2924
07-0195_f2_0011_-1296.86_-4266.71,-1296.86,-4266.71,-1.3911
07-0195_f2_0011_-968.112_-4265.84,-968.112,-4265.84,-0.854938
07-0195_f2_0011_-1306.07_-4266.34,-1306.07,-4266.34,-1.2293
07-0195_f2_0011_-1156.03_-4270.24,-1156.03,-4270.24,0.813145
07-0195_f2_0011_-1236.28_-4268.55,-1236.28,-4268.55,-0.511808
07-0195_f2_0011_-930.348_-4269.19,-930.348,-4269.19,-0.133497
07-0195_f2_0011_-981.325_-4273.09,-981.325,-4273.09,-0.380167
07-0195_f2_0011_-914.046_-4269.3,-914.046,-4269.3,1.32986
07-0195_f2_0011_-1221.54_-4273.4,-1221.54,-4273.4,-0.053373
07-0195_f2_0011_-1088.08_-4271.97,-1088.08,-4271.97,-1.08706
07-0195_f2_0011_-1178.68_-4273.01,-1178.68,-4273.01,-0.205596
07-0195_f2_0011_-1207.65_-4274.54,-1207.65,-4274.54,-0.037984
07-0195_f2_0011_-1034.43_-4272.92,-1034.43,-4272.92,-0.57976
07-0195_f2_0011_-1308.3_-4271.69,-1308.3,-4271.69,-1.44565
07-0195_f2_0011_-1197.75_-4274.9,-1197.75,-4274.9,0.016441
07-0195_f2_0011_-1165.28_-4271.28,-1165.28,-4271.28,1.2237
07-0195_f2_0011_-1192.92_-4275.01,-1192.92,-4275.01,-0.075779
07-0195_f2_0011_-1297.71_-4272.6,-1297.71,-4272.6,-1.46506
07-0195_f2_0011_-1213.74_-4272.31,-1213.74,-4272.31,-0.794086
07-0195_f2_0011_-908.543_-4276.26,-908.543,-4276.26,0.893435
07-0195_f2_0011_-1211.72_-4275.66,-1211.72,-4275.66,-0.320209
07-0195_f2_0011_-1081.77_-4278.14,-1081.77,-4278.14,-1.13341
07-0195_f2_0011_-1292.22_-4275.7,-1292.22,-4275.7,-0.980993
07-0195_f2_0011_-1160.84_-4275.86,-1160.84,-4275.86,0.156058
07-0195_f2_0011_-1042.62_-4278.09,-1042.62,-4278.09,-0.818474
07-0195_f2_0011_-989.827_-4277.74,-989.827,-4277.74,0.685603
07-0195_f2_0011_-1144.39_-4277.45,-1144.39,-4277.45,0.950003
07-0195_f2_0011_-1152.69_-4277.03,-1152.69,-4277.03,1.33213
07-0195_f2_0011_-975.771_-4277.03,-975.771,-4277.03,1.14532
07-0195_f2_0011_-1164.13_-4282.3,-1164.13,-4282.3,0.748282
07-0195_f2_0011_-937.452_-4278.99,-937.452,-4278.99,-0.917949
07-0195_f2_0011_-1071.26_-4281.92,-1071.26,-4281.92,1.32962
07-0195_f2_0011_-1057.44_-4278.78,-1057.44,-4278.78,-1.30207
07-0195_f2_0011_-1061.93_-4281.4,-1061.93,-4281.4,0.492114
07-0195_f2_0011_-1171.12_-4282.7,-1171.12,-4282.7,0.526794
07-0195_f2_0011_-1299.69_-4280.5,-1299.69,-4280.5,-1.3083
07-0195_f2_0011_-1190.55_-4284.18,-1190.55,-4284.18,-0.10251
07-0195_f2_0011_-1186.58_-4279.42,-1186.58,-4279.42,0.154151
07-0195_f2_0011_-1292.9_-4283.04,-1292.9,-4283.04,-1.05844
07-0195_f2_0011_-910.766_-4280.78,-910.766,-4280.78,0.808962
07-0195_f2_0011_-1177.27_-4283.09,-1177.27,-4283.09,0.358217
07-0195_f2_0011_-1198.87_-4283.36,-1198.87,-4283.36,0.06656
07-0195_f2_0011_-1284.71_-4283.53,-1284.71,-4283.53,-1.08177
