UniqID_NUCL,N_COM_X,N_COM_Y,N_Orient
04-0152_f1_0017_9900.79_-4536.72,9900.79,-4536.72,-1.35869
04-0152_f1_0017_9671.44_-4538.01,9671.44,-4538.01,-0.83679
04-0152_f1_0017_9630.96_-4541.75,9630.96,-4541.75,0.767513
04-0152_f1_0017_9620.72_-4538.34,9620.72,-4538.34,-0.324384
04-0152_f1_0017_9647.42_-4537.23,9647.42,-4537.23,-0.256722
04-0152_f1_0017_9883.97_-4536.96,9883.97,-4536.96,1.43298
04-0152_f1_0017_9679.29_-4538.68,9679.29,-4538.68,0.254032
04-0152_f1_0017_9654.78_-4538.89,9654.78,-4538.89,0.127573
04-0152_f1_0017_9614.28_-4541.23,9614.28,-4541.23,0.642211
04-0152_f1_0017_9642.03_-4540.36,9642.03,-4540.36,0.014666
04-0152_f1_0017_9660.94_-4539.62,9660.94,-4539.62,-0.945259
04-0152_f1_0017_9624.03_-4542.8,9624.03,-4542.8,0.260286
04-0152_f1_0017_9663.16_-4543.42,9663.16,-4543.42,-0.122963
04-0152_f1_0017_9650.55_-4544.78,9650.55,-4544.78,1.18179
04-0152_f1_0017_9608.88_-4545.64,9608.88,-4545.64,0.366132
04-0152_f1_0017_9892.95_-4545.03,9892.95,-4545.03,-1.08542
04-0152_f1_0017_9656.93_-4545.96,9656.93,-4545.96,-0.677565
04-0152_f1_0017_9643.19_-4545.38,9643.19,-4545.38,-0.135986
04-0152_f1_0017_9638.72_-4545.6,9638.72,-4545.6,-0.279513
04-0152_f1_0017_9896.07_-4551.91,9896.07,-4551.91,-0.351201
04-0152_f1_0017_9595_-4546.3,9595,-4546.3,0.775844
04-0152_f1_0017_9622.33_-4548.4,9622.33,-4548.4,0.623823
04-0152_f1_0017_9903.55_-4546.96,9903.55,-4546.96,0.043668
04-0152_f1_0017_9613.89_-4549.7,9613.89,-4549.7,0.098485
04-0152_f1_0017_9643.87_-4551,9643.87,-4551,1.22616
04-0152_f1_0017_9607.51_-4552.84,9607.51,-4552.84,0.71878
04-0152_f1_0017_9889.82_-4555.62,9889.82,-4555.62,0.70402
04-0152_f1_0017_9598.1_-4553.61,9598.1,-4553.61,0.424441
04-0152_f1_0017_9902.75_-4552.64,9902.75,-4552.64,-1.20738
04-0152_f1_0017_9578.83_-4553.9,9578.83,-4553.9,-1.35132
04-0152_f1_0017_9625.38_-4552.53,9625.38,-4552.53,-1.10617
04-0152_f1_0017_9573.34_-4556.94,9573.34,-4556.94,0.496894
04-0152_f1_0017_9566.78_-4555.09,9566.78,-4555.09,0.432355
04-0152_f1_0017_9602.85_-4555.45,9602.85,-4555.45,0.488129
04-0152_f1_0017_9582.79_-4558.18,9582.79,-4558.18,-0.619242
04-0152_f1_0017_10093.3_-4559.48,10093.3,-4559.48,0.372126
04-0152_f1_0017_9595.41_-4558.72,9595.41,-4558.72,1.33512
04-0152_f1_0017_10102.3_-4563.31,10102.3,-4563.31,0.366803
04-0152_f1_0017_9563.92_-4558.67,9563.92,-4558.67,0.283982
04-0152_f1_0017_9608.21_-4558.47,9608.21,-4558.47,-1.05893
04-0152_f1_0017_9552.62_-4569.79,9552.62,-4569.79,0.247815
04-0152_f1_0017_9601.72_-4560.17,9601.72,-4560.17,-0.031819
04-0152_f1_0017_10109.9_-4563.56,10109.9,-4563.56,-0.408709
04-0152_f1_0017_10086.8_-4568.15,10086.8,-4568.15,0.417679
04-0152_f1_0017_9542.48_-4564.16,9542.48,-4564.16,0.824823
04-0152_f1_0017_9557.03_-4561.59,9557.03,-4561.59,0.891223
04-0152_f1_0017_9579.3_-4562.77,9579.3,-4562.77,0.57838
04-0152_f1_0017_9572.78_-4565.07,9572.78,-4565.07,0.475137
04-0152_f1_0017_9605.49_-4562.51,9605.49,-4562.51,0.048472
04-0152_f1_0017_9895.29_-4563.53,9895.29,-4563.53,-1.40553
04-0152_f1_0017_9566.92_-4565.72,9566.92,-4565.72,0.583955
04-0152_f1_0017_10098.1_-4563.16,10098.1,-4563.16,0.257151
04-0152_f1_0017_9905.01_-4564.94,9905.01,-4564.94,1.42093
04-0152_f1_0017_9595.1_-4565.52,9595.1,-4565.52,0.279942
04-0152_f1_0017_9539.61_-4568.18,9539.61,-4568.18,0.606474
04-0152_f1_0017_9249.36_-4565.99,9249.36,-4565.99,1.23371
04-0152_f1_0017_9559.84_-4568.91,9559.84,-4568.91,0.159041
04-0152_f1_0017_10096.9_-4568.5,10096.9,-4568.5,0.498863
04-0152_f1_0017_9239.96_-4569.25,9239.96,-4569.25,-0.112417
04-0152_f1_0017_9245.33_-4570.22,9245.33,-4570.22,-0.206349
04-0152_f1_0017_9534.73_-4568.55,9534.73,-4568.55,0.186897
04-0152_f1_0017_9894.29_-4570.86,9894.29,-4570.86,1.03807
04-0152_f1_0017_10113.7_-4571.51,10113.7,-4571.51,0.176421
04-0152_f1_0017_9259.52_-4573.62,9259.52,-4573.62,0.060456
04-0152_f1_0017_9915.44_-4570.16,9915.44,-4570.16,0.880226
04-0152_f1_0017_9529.54_-4570.36,9529.54,-4570.36,0.95575
04-0152_f1_0017_9266.4_-4573.12,9266.4,-4573.12,0.308978
04-0152_f1_0017_9228.71_-4576.81,9228.71,-4576.81,0.174163
04-0152_f1_0017_10125.1_-4570.96,10125.1,-4570.96,0.929091
04-0152_f1_0017_10075.6_-4573.65,10075.6,-4573.65,0.666864
04-0152_f1_0017_9907.72_-4573.76,9907.72,-4573.76,-1.32195
04-0152_f1_0017_10082_-4573.26,10082,-4573.26,0.716884
04-0152_f1_0017_9218.09_-4575.79,9218.09,-4575.79,0.098903
04-0152_f1_0017_9280.36_-4574.52,9280.36,-4574.52,0.150074
04-0152_f1_0017_9547.4_-4575.74,9547.4,-4575.74,0.524496
04-0152_f1_0017_9222.58_-4574.08,9222.58,-4574.08,-1.48794
04-0152_f1_0017_9294.19_-4572.97,9294.19,-4572.97,-0.518576
04-0152_f1_0017_10095.3_-4574.55,10095.3,-4574.55,0.692841
04-0152_f1_0017_9235.69_-4576.75,9235.69,-4576.75,-0.209889
04-0152_f1_0017_9534.21_-4573.24,9534.21,-4573.24,1.18044
04-0152_f1_0017_9922.11_-4583.19,9922.11,-4583.19,0.417704
04-0152_f1_0017_10129.9_-4579.06,10129.9,-4579.06,0.327331
04-0152_f1_0017_9275.34_-4578.57,9275.34,-4578.57,0.192225
04-0152_f1_0017_9513.31_-4574.5,9513.31,-4574.5,0.901862
04-0152_f1_0017_9540.59_-4574.78,9540.59,-4574.78,0.997581
04-0152_f1_0017_9239.97_-4579.25,9239.97,-4579.25,-0.34437
04-0152_f1_0017_10071.7_-4576.52,10071.7,-4576.52,0.952387
04-0152_f1_0017_9180.29_-4577.5,9180.29,-4577.5,0.41488
04-0152_f1_0017_9914.73_-4577.96,9914.73,-4577.96,-0.853617
04-0152_f1_0017_10124.3_-4576.19,10124.3,-4576.19,0.060615
04-0152_f1_0017_9254.65_-4580.64,9254.65,-4580.64,0.393393
04-0152_f1_0017_9211.12_-4583.75,9211.12,-4583.75,0.338526
04-0152_f1_0017_9289.28_-4580.43,9289.28,-4580.43,-0.235503
04-0152_f1_0017_9512.89_-4578.59,9512.89,-4578.59,1.18212
04-0152_f1_0017_9522.61_-4579.46,9522.61,-4579.46,0.560999
04-0152_f1_0017_9186.92_-4582.08,9186.92,-4582.08,0.088547
04-0152_f1_0017_9193.07_-4583.63,9193.07,-4583.63,0.083443
04-0152_f1_0017_9199.94_-4580.75,9199.94,-4580.75,0.158951
04-0152_f1_0017_9267.22_-4582.16,9267.22,-4582.16,0.987511
04-0152_f1_0017_9223.31_-4579.95,9223.31,-4579.95,0.430655
04-0152_f1_0017_9301.43_-4587.38,9301.43,-4587.38,-0.302814
04-0152_f1_0017_9163.65_-4581.68,9163.65,-4581.68,0.182792
04-0152_f1_0017_9540.21_-4580.4,9540.21,-4580.4,0.821658
04-0152_f1_0017_9215.61_-4580.32,9215.61,-4580.32,0.469235
04-0152_f1_0017_9503.86_-4582.68,9503.86,-4582.68,0.385675
04-0152_f1_0017_9284.47_-4581.11,9284.47,-4581.11,-0.339641
04-0152_f1_0017_9905.98_-4581.39,9905.98,-4581.39,1.49142
04-0152_f1_0017_10064.5_-4582.92,10064.5,-4582.92,0.771066
04-0152_f1_0017_10094.4_-4582.16,10094.4,-4582.16,0.027036
04-0152_f1_0017_9296.44_-4580.3,9296.44,-4580.3,0.635483
04-0152_f1_0017_9532.58_-4584.82,9532.58,-4584.82,1.28533
04-0152_f1_0017_10070.7_-4582.05,10070.7,-4582.05,0.817241
04-0152_f1_0017_10076.8_-4582.73,10076.8,-4582.73,0.506273
04-0152_f1_0017_9181.48_-4586.84,9181.48,-4586.84,0.369957
04-0152_f1_0017_9206.25_-4588.41,9206.25,-4588.41,-0.008332
04-0152_f1_0017_9245.27_-4583.25,9245.27,-4583.25,-0.873781
04-0152_f1_0017_9221.09_-4587.03,9221.09,-4587.03,0.214396
04-0152_f1_0017_9914.99_-4586.33,9914.99,-4586.33,-1.20612
04-0152_f1_0017_9159.47_-4586.54,9159.47,-4586.54,0.71227
04-0152_f1_0017_9499.48_-4585.07,9499.48,-4585.07,0.430134
04-0152_f1_0017_9516.53_-4586.9,9516.53,-4586.9,0.803347
04-0152_f1_0017_10083.9_-4586.77,10083.9,-4586.77,0.747733
04-0152_f1_0017_9310.67_-4586.51,9310.67,-4586.51,0.03705
04-0152_f1_0017_9488.72_-4584.82,9488.72,-4584.82,-1.54677
04-0152_f1_0017_9149.59_-4592.21,9149.59,-4592.21,0.369024
04-0152_f1_0017_9273.61_-4587.06,9273.61,-4587.06,-0.502312
04-0152_f1_0017_9280.08_-4587.78,9280.08,-4587.78,-0.26458
04-0152_f1_0017_9495.65_-4587.28,9495.65,-4587.28,0.628709
04-0152_f1_0017_10127.3_-4586.43,10127.3,-4586.43,-0.404191
04-0152_f1_0017_9481.77_-4585.27,9481.77,-4585.27,1.07962
04-0152_f1_0017_9509.41_-4588.86,9509.41,-4588.86,0.293718
04-0152_f1_0017_10123.2_-4588.44,10123.2,-4588.44,0.122103
04-0152_f1_0017_9524.74_-4588.53,9524.74,-4588.53,-0.311897
04-0152_f1_0017_9925.61_-4589.96,9925.61,-4589.96,-1.47265
04-0152_f1_0017_10061_-4589.84,10061,-4589.84,0.65019
04-0152_f1_0017_9262.12_-4587.92,9262.12,-4587.92,-0.549493
04-0152_f1_0017_9154.7_-4589.67,9154.7,-4589.67,0.564488
04-0152_f1_0017_9199.25_-4591.36,9199.25,-4591.36,-0.069435
04-0152_f1_0017_9238.97_-4590.01,9238.97,-4590.01,-0.407817
04-0152_f1_0017_9287.37_-4589.33,9287.37,-4589.33,0.789715
04-0152_f1_0017_9320.08_-4593,9320.08,-4593,0.113422
04-0152_f1_0017_9904.43_-4588.43,9904.43,-4588.43,1.06813
04-0152_f1_0017_10070.3_-4588.04,10070.3,-4588.04,0.417108
04-0152_f1_0017_9245.53_-4589.13,9245.53,-4589.13,-0.004009
04-0152_f1_0017_9297.06_-4588.4,9297.06,-4588.4,-0.170295
04-0152_f1_0017_10075.6_-4589.65,10075.6,-4589.65,0.200897
04-0152_f1_0017_9304.99_-4590.66,9304.99,-4590.66,-1.14405
04-0152_f1_0017_9502.68_-4590.04,9502.68,-4590.04,0.616241
04-0152_f1_0017_9329.47_-4593.7,9329.47,-4593.7,1.55827
04-0152_f1_0017_9488.75_-4592.33,9488.75,-4592.33,1.32961
04-0152_f1_0017_9266.86_-4591.7,9266.86,-4591.7,0.594955
04-0152_f1_0017_10134.2_-4591.79,10134.2,-4591.79,1.37933
04-0152_f1_0017_9313.08_-4593.86,9313.08,-4593.86,1.18367
04-0152_f1_0017_9476.02_-4591.96,9476.02,-4591.96,1.38377
04-0152_f1_0017_9918.55_-4595.36,9918.55,-4595.36,0.520795
04-0152_f1_0017_9145.36_-4596.24,9145.36,-4596.24,0.69654
04-0152_f1_0017_9293.38_-4593.7,9293.38,-4593.7,-0.965827
04-0152_f1_0017_10137.9_-4597.87,10137.9,-4597.87,-1.07609
04-0152_f1_0017_9496.87_-4593.92,9496.87,-4593.92,0.186359
04-0152_f1_0017_9160.73_-4596.61,9160.73,-4596.61,0.827719
04-0152_f1_0017_9286.34_-4596.34,9286.34,-4596.34,0.036421
04-0152_f1_0017_10124.4_-4594.53,10124.4,-4594.53,-0.999351
04-0152_f1_0017_9139.1_-4598.04,9139.1,-4598.04,-0.86025
04-0152_f1_0017_9483.89_-4596.7,9483.89,-4596.7,1.35168
04-0152_f1_0017_10129.5_-4597.44,10129.5,-4597.44,-0.97763
04-0152_f1_0017_9255.03_-4595.77,9255.03,-4595.77,1.28578
04-0152_f1_0017_9933.1_-4597.57,9933.1,-4597.57,1.11254
04-0152_f1_0017_10066.5_-4597.57,10066.5,-4597.57,0.621617
04-0152_f1_0017_9304.4_-4597.17,9304.4,-4597.17,-0.426388
04-0152_f1_0017_9350.49_-4594.52,9350.49,-4594.52,1.19768
04-0152_f1_0017_10117.9_-4597.66,10117.9,-4597.66,-0.696008
04-0152_f1_0017_9341.56_-4599.27,9341.56,-4599.27,-0.014141
04-0152_f1_0017_9272.14_-4598.7,9272.14,-4598.7,-0.351662
04-0152_f1_0017_9925.94_-4598.17,9925.94,-4598.17,-0.80298
04-0152_f1_0017_10052.1_-4596.73,10052.1,-4596.73,-0.257703
04-0152_f1_0017_9477.48_-4596.62,9477.48,-4596.62,0.547993
04-0152_f1_0017_9358.43_-4597.96,9358.43,-4597.96,0.2162
04-0152_f1_0017_9470.61_-4597.12,9470.61,-4597.12,1.26226
04-0152_f1_0017_9449.92_-4597.04,9449.92,-4597.04,0.510425
04-0152_f1_0017_9309.31_-4599.04,9309.31,-4599.04,-0.484287
04-0152_f1_0017_9440.87_-4600.05,9440.87,-4600.05,-0.303451
04-0152_f1_0017_9462.19_-4599.29,9462.19,-4599.29,-1.52705
04-0152_f1_0017_9493.84_-4597.76,9493.84,-4597.76,1.21912
04-0152_f1_0017_9279.83_-4600.6,9279.83,-4600.6,0.061855
04-0152_f1_0017_9375.78_-4599.83,9375.78,-4599.83,0.821696
04-0152_f1_0017_9912.58_-4598.64,9912.58,-4598.64,0.755648
04-0152_f1_0017_9317.14_-4599.29,9317.14,-4599.29,-1.37945
04-0152_f1_0017_9293.57_-4598.43,9293.57,-4598.43,-1.39462
04-0152_f1_0017_9298.42_-4598.86,9298.42,-4598.86,-0.545337
04-0152_f1_0017_9336.17_-4598.96,9336.17,-4598.96,0.817282
04-0152_f1_0017_9325.72_-4598.81,9325.72,-4598.81,-1.51613
04-0152_f1_0017_9384.56_-4600.49,9384.56,-4600.49,1.51717
04-0152_f1_0017_9368.07_-4603.38,9368.07,-4603.38,0.381756
04-0152_f1_0017_9353.51_-4604.94,9353.51,-4604.94,-0.375701
04-0152_f1_0017_9938.85_-4601.13,9938.85,-4601.13,-0.299456
04-0152_f1_0017_9143.99_-4603.75,9143.99,-4603.75,1.16659
04-0152_f1_0017_9331.23_-4602.24,9331.23,-4602.24,-0.141885
04-0152_f1_0017_9473.59_-4602.57,9473.59,-4602.57,-1.42703
04-0152_f1_0017_9444.49_-4603.61,9444.49,-4603.61,-1.39139
04-0152_f1_0017_9450.79_-4602.09,9450.79,-4602.09,-0.815546
04-0152_f1_0017_9491.4_-4603.8,9491.4,-4603.8,-0.898415
04-0152_f1_0017_10053_-4603.56,10053,-4603.56,0.649845
04-0152_f1_0017_10122.3_-4602.54,10122.3,-4602.54,1.09329
04-0152_f1_0017_9426.42_-4604.43,9426.42,-4604.43,0.042614
04-0152_f1_0017_9347.08_-4605.35,9347.08,-4605.35,-0.045
04-0152_f1_0017_9361.38_-4605.11,9361.38,-4605.11,-0.71694
04-0152_f1_0017_9420.38_-4604.21,9420.38,-4604.21,1.03287
04-0152_f1_0017_9933.62_-4601.75,9933.62,-4601.75,1.29393
04-0152_f1_0017_9483.62_-4602.59,9483.62,-4602.59,1.2631
04-0152_f1_0017_9153.92_-4603.55,9153.92,-4603.55,0.870164
04-0152_f1_0017_9405.24_-4604.32,9405.24,-4604.32,-0.511389
04-0152_f1_0017_9917.36_-4603.05,9917.36,-4603.05,1.44091
04-0152_f1_0017_9323.99_-4603.56,9323.99,-4603.56,1.5566
04-0152_f1_0017_10062.2_-4603.82,10062.2,-4603.82,-1.07681
04-0152_f1_0017_9303.88_-4603.98,9303.88,-4603.98,-0.458712
04-0152_f1_0017_9458.76_-4605.71,9458.76,-4605.71,-1.13947
04-0152_f1_0017_9931.15_-4606.15,9931.15,-4606.15,0.39987
04-0152_f1_0017_9336.87_-4605,9336.87,-4605,-0.928188
04-0152_f1_0017_9952.14_-4605.49,9952.14,-4605.49,1.29741
04-0152_f1_0017_9409.08_-4606.33,9409.08,-4606.33,-0.320374
04-0152_f1_0017_9921.54_-4604.57,9921.54,-4604.57,-0.421933
04-0152_f1_0017_10041.4_-4612.35,10041.4,-4612.35,0.781497
04-0152_f1_0017_10067.6_-4607.1,10067.6,-4607.1,0.784044
04-0152_f1_0017_9137.92_-4609.46,9137.92,-4609.46,0.667533
04-0152_f1_0017_9341.7_-4607.56,9341.7,-4607.56,0.071245
04-0152_f1_0017_9477.34_-4605.62,9477.34,-4605.62,-1.29132
04-0152_f1_0017_10138.6_-4606.39,10138.6,-4606.39,0.241254
04-0152_f1_0017_9321.19_-4606.94,9321.19,-4606.94,1.20863
04-0152_f1_0017_9396.49_-4607.05,9396.49,-4607.05,0.910689
04-0152_f1_0017_9451.71_-4606.53,9451.71,-4606.53,-0.466225
04-0152_f1_0017_9467.56_-4606.24,9467.56,-4606.24,1.54726
04-0152_f1_0017_9941.76_-4606.91,9941.76,-4606.91,1.56525
04-0152_f1_0017_9309.41_-4608.49,9309.41,-4608.49,-1.19901
04-0152_f1_0017_9327.4_-4607.67,9327.4,-4607.67,0.200221
04-0152_f1_0017_10130.4_-4607.93,10130.4,-4607.93,0.560286
04-0152_f1_0017_9375.17_-4607.33,9375.17,-4607.33,-1.48438
04-0152_f1_0017_10125.1_-4608.85,10125.1,-4608.85,0.864319
04-0152_f1_0017_9432.06_-4607.42,9432.06,-4607.42,-1.4678
04-0152_f1_0017_9415.08_-4610.41,9415.08,-4610.41,-0.000131
04-0152_f1_0017_9484.7_-4608.42,9484.7,-4608.42,1.25347
04-0152_f1_0017_9332.55_-4609.01,9332.55,-4609.01,-1.41844
04-0152_f1_0017_9438.44_-4611.6,9438.44,-4611.6,0.140873
04-0152_f1_0017_9444.88_-4609.67,9444.88,-4609.67,-1.10762
04-0152_f1_0017_10049.1_-4613.23,10049.1,-4613.23,-0.425319
04-0152_f1_0017_10063_-4609.73,10063,-4609.73,0.645687
04-0152_f1_0017_9298.06_-4609.22,9298.06,-4609.22,0.873813
04-0152_f1_0017_9366.76_-4610.78,9366.76,-4610.78,-0.457911
04-0152_f1_0017_9144.13_-4609.84,9144.13,-4609.84,1.0295
04-0152_f1_0017_9399.13_-4611.44,9399.13,-4611.44,-1.49196
04-0152_f1_0017_9426.05_-4611.06,9426.05,-4611.06,-0.612836
04-0152_f1_0017_9950.62_-4610.55,9950.62,-4610.55,-0.761325
04-0152_f1_0017_9475.26_-4610.69,9475.26,-4610.69,1.24598
04-0152_f1_0017_9420.08_-4612.6,9420.08,-4612.6,-0.205286
04-0152_f1_0017_9956.99_-4612.21,9956.99,-4612.21,-0.625788
04-0152_f1_0017_9405.6_-4612.73,9405.6,-4612.73,-0.314683
04-0152_f1_0017_9467.86_-4612.27,9467.86,-4612.27,0.967965
04-0152_f1_0017_9354.77_-4611.74,9354.77,-4611.74,1.50877
04-0152_f1_0017_9382.12_-4611.7,9382.12,-4611.7,0.125804
04-0152_f1_0017_9934.94_-4613.59,9934.94,-4613.59,-1.45492
04-0152_f1_0017_9338.27_-4612.55,9338.27,-4612.55,0.802075
04-0152_f1_0017_9346.63_-4611.17,9346.63,-4611.17,-0.853603
04-0152_f1_0017_9378.42_-4611.87,9378.42,-4611.87,0.015937
04-0152_f1_0017_9431.55_-4612.42,9431.55,-4612.42,-1.12232
04-0152_f1_0017_9449.06_-4612.04,9449.06,-4612.04,-0.910861
04-0152_f1_0017_9372.78_-4612.74,9372.78,-4612.74,-1.31735
04-0152_f1_0017_9963.9_-4614.27,9963.9,-4614.27,0.120582
04-0152_f1_0017_10032.8_-4613.17,10032.8,-4613.17,-0.902122
04-0152_f1_0017_10134.5_-4613.29,10134.5,-4613.29,-1.25839
04-0152_f1_0017_9410.86_-4615.17,9410.86,-4615.17,0.117762
04-0152_f1_0017_9388.26_-4614.54,9388.26,-4614.54,-0.145972
04-0152_f1_0017_9968.26_-4616.25,9968.26,-4616.25,-0.486218
04-0152_f1_0017_10127.2_-4614.99,10127.2,-4614.99,-1.18712
04-0152_f1_0017_9460.9_-4615.08,9460.9,-4615.08,-0.12115
04-0152_f1_0017_9148.23_-4614.69,9148.23,-4614.69,0.025752
04-0152_f1_0017_9362.13_-4617.65,9362.13,-4617.65,0.213238
04-0152_f1_0017_9946.55_-4616.31,9946.55,-4616.31,0.505621
04-0152_f1_0017_9139.54_-4615.11,9139.54,-4615.11,1.14034
04-0152_f1_0017_9395.12_-4615.35,9395.12,-4615.35,1.02141
04-0152_f1_0017_10120.3_-4615.4,10120.3,-4615.4,0.716351
04-0152_f1_0017_9450.37_-4616.13,9450.37,-4616.13,-1.14438
04-0152_f1_0017_9953.13_-4618.25,9953.13,-4618.25,0.534336
04-0152_f1_0017_10036_-4616.94,10036,-4616.94,0.326644
