UniqID_NUCL,N_COM_X,N_COM_Y,N_Orient
04-0145_f2_0001_6175.31_401.418,6175.31,401.418,-0.214956
04-0145_f2_0001_6164.65_399.97,6164.65,399.97,0.862555
04-0145_f2_0001_6170.89_395.891,6170.89,395.891,0.067871
04-0145_f2_0001_6175.53_396.295,6175.53,396.295,0.699175
04-0145_f2_0001_6161.05_391.558,6161.05,391.558,0.745448
04-0145_f2_0001_6154.92_390.759,6154.92,390.759,1.1514
04-0145_f2_0001_6148.29_387.045,6148.29,387.045,1.45414
04-0145_f2_0001_6157.93_383.926,6157.93,383.926,-1.20593
04-0145_f2_0001_6149.58_382.756,6149.58,382.756,1.31127
04-0145_f2_0001_6143.43_378.671,6143.43,378.671,0.457424
04-0145_f2_0001_6150.96_378.237,6150.96,378.237,1.32199
04-0145_f2_0001_6149.35_373.968,6149.35,373.968,1.11219
04-0145_f2_0001_6142.43_372.205,6142.43,372.205,1.34435
04-0145_f2_0001_6153.43_369.547,6153.43,369.547,1.47488
04-0145_f2_0001_6148.61_366.124,6148.61,366.124,1.14111
04-0145_f2_0001_6142.44_363.485,6142.44,363.485,1.29998
04-0145_f2_0001_6148.75_358.591,6148.75,358.591,-1.37246
04-0145_f2_0001_6155.82_358.086,6155.82,358.086,0.022975
04-0145_f2_0001_6037.37_353.189,6037.37,353.189,0.640037
04-0145_f2_0001_6057.95_354.447,6057.95,354.447,1.18313
04-0145_f2_0001_6141.92_353.814,6141.92,353.814,-1.54244
04-0145_f2_0001_6048.06_352.292,6048.06,352.292,-1.04182
04-0145_f2_0001_6154.95_353.802,6154.95,353.802,0.788458
04-0145_f2_0001_6151.4_351.285,6151.4,351.285,1.05359
04-0145_f2_0001_6058.11_350.252,6058.11,350.252,1.30635
04-0145_f2_0001_6142.04_349.539,6142.04,349.539,-1.51699
04-0145_f2_0001_6055.33_345.729,6055.33,345.729,-1.38365
04-0145_f2_0001_6146.9_346.497,6146.9,346.497,-1.51034
04-0145_f2_0001_6153.43_346.38,6153.43,346.38,-1.10105
04-0145_f2_0001_6138.51_345.636,6138.51,345.636,-1.3637
04-0145_f2_0001_6148.53_342.248,6148.53,342.248,1.45081
04-0145_f2_0001_6059.14_339.225,6059.14,339.225,-0.973841
04-0145_f2_0001_6054.2_340.458,6054.2,340.458,-0.796806
04-0145_f2_0001_6144.55_338.02,6144.55,338.02,1.49919
04-0145_f2_0001_6155.72_336.796,6155.72,336.796,0.982807
04-0145_f2_0001_6151.99_333.123,6151.99,333.123,1.26248
04-0145_f2_0001_6141.6_333.104,6141.6,333.104,1.55888
04-0145_f2_0001_6063.39_329.293,6063.39,329.293,-1.16047
04-0145_f2_0001_6145.5_327.595,6145.5,327.595,1.56486
04-0145_f2_0001_6065.71_323.291,6065.71,323.291,-1.48475
04-0145_f2_0001_6152.18_323.388,6152.18,323.388,1.43805
04-0145_f2_0001_6140.5_320.691,6140.5,320.691,1.33046
04-0145_f2_0001_6066.5_317.355,6066.5,317.355,-1.43797
04-0145_f2_0001_6151.68_319.189,6151.68,319.189,1.55613
04-0145_f2_0001_6145.18_313.585,6145.18,313.585,-0.890498
04-0145_f2_0001_6156.03_314.36,6156.03,314.36,1.33791
04-0145_f2_0001_6069.7_312.139,6069.7,312.139,-1.54827
04-0145_f2_0001_6151.56_311.116,6151.56,311.116,1.47626
04-0145_f2_0001_6076.45_307.976,6076.45,307.976,1.29353
04-0145_f2_0001_6153.91_305.708,6153.91,305.708,1.367
04-0145_f2_0001_6145.26_304.169,6145.26,304.169,1.33573
04-0145_f2_0001_6073.02_304.854,6073.02,304.854,0.625941
04-0145_f2_0001_6069.36_298.672,6069.36,298.672,-1.33816
04-0145_f2_0001_6141.51_299.193,6141.51,299.193,-0.840839
04-0145_f2_0001_6149.79_297.389,6149.79,297.389,-1.47456
04-0145_f2_0001_6134.81_298.091,6134.81,298.091,-1.47021
04-0145_f2_0001_6077.66_295.764,6077.66,295.764,1.42594
04-0145_f2_0001_6067.96_293.661,6067.96,293.661,1.13577
04-0145_f2_0001_6071.85_290.85,6071.85,290.85,-1.02668
04-0145_f2_0001_6137.62_289.484,6137.62,289.484,1.1916
04-0145_f2_0001_6065.17_286.771,6065.17,286.771,0.605749
04-0145_f2_0001_6077.17_286.93,6077.17,286.93,-1.00684
04-0145_f2_0001_6151.71_285.745,6151.71,285.745,-1.52868
04-0145_f2_0001_6142.64_282.691,6142.64,282.691,0.014487
04-0145_f2_0001_6069.49_283.178,6069.49,283.178,-1.35766
04-0145_f2_0001_6077.73_279.478,6077.73,279.478,0.586309
04-0145_f2_0001_6149.26_280.559,6149.26,280.559,-0.449229
04-0145_f2_0001_6150.91_275.598,6150.91,275.598,-1.24556
04-0145_f2_0001_6069.77_276.03,6069.77,276.03,-1.4809
04-0145_f2_0001_6059.61_271.808,6059.61,271.808,-1.18515
04-0145_f2_0001_6080.88_271.331,6080.88,271.331,0.459693
04-0145_f2_0001_6073.88_271.51,6073.88,271.51,1.38116
04-0145_f2_0001_6139.11_268.431,6139.11,268.431,1.51024
04-0145_f2_0001_6071.47_267.364,6071.47,267.364,1.27421
04-0145_f2_0001_6150.22_267.984,6150.22,267.984,-1.04669
04-0145_f2_0001_6083.81_265.181,6083.81,265.181,1.09667
04-0145_f2_0001_6145.07_264.647,6145.07,264.647,-1.2066
04-0145_f2_0001_6067.67_258.267,6067.67,258.267,0.783109
