UniqID_NUCL,N_COM_X,N_COM_Y,N_Orient
04-0145_f2_0003_6476.12_131.461,6476.12,131.461,-0.826831
04-0145_f2_0003_6483.6_131.515,6483.6,131.515,1.55477
04-0145_f2_0003_6490.6_132.057,6490.6,132.057,1.4518
04-0145_f2_0003_6512.06_127.903,6512.06,127.903,0.59379
04-0145_f2_0003_6479.15_127.151,6479.15,127.151,1.5214
04-0145_f2_0003_6522.78_126.106,6522.78,126.106,1.00674
04-0145_f2_0003_6504.29_125.352,6504.29,125.352,0.885361
04-0145_f2_0003_6496.55_124.82,6496.55,124.82,1.33542
04-0145_f2_0003_6486.31_124.545,6486.31,124.545,-1.06758
04-0145_f2_0003_6514.87_122.146,6514.87,122.146,1.46556
04-0145_f2_0003_6478.85_121.685,6478.85,121.685,-1.437
04-0145_f2_0003_6502.44_120.262,6502.44,120.262,1.31294
04-0145_f2_0003_6526.48_120.103,6526.48,120.103,0.660018
04-0145_f2_0003_6493.32_117.618,6493.32,117.618,1.24825
04-0145_f2_0003_6510.09_117.358,6510.09,117.358,0.977935
04-0145_f2_0003_6484.73_117.527,6484.73,117.527,1.07293
04-0145_f2_0003_6488.47_119.882,6488.47,119.882,1.43045
04-0145_f2_0003_6470.56_115.943,6470.56,115.943,1.3096
04-0145_f2_0003_6524.48_114.906,6524.48,114.906,1.02458
04-0145_f2_0003_6477.77_116.646,6477.77,116.646,1.31407
04-0145_f2_0003_6500.48_113.382,6500.48,113.382,1.23649
04-0145_f2_0003_6493.39_111.077,6493.39,111.077,0.90696
04-0145_f2_0003_6480.19_111.554,6480.19,111.554,-0.89174
04-0145_f2_0003_6513.47_110.522,6513.47,110.522,0.875013
04-0145_f2_0003_6467.14_109.669,6467.14,109.669,1.31563
04-0145_f2_0003_6474.3_109.993,6474.3,109.993,1.36083
04-0145_f2_0003_6517.53_112.391,6517.53,112.391,-1.3697
04-0145_f2_0003_6532.36_111.468,6532.36,111.468,-0.431876
04-0145_f2_0003_6521.9_109.044,6521.9,109.044,-0.851579
04-0145_f2_0003_6536.16_109.662,6536.16,109.662,0.470016
04-0145_f2_0003_6504.37_109.189,6504.37,109.189,1.29237
04-0145_f2_0003_6482.61_106.728,6482.61,106.728,0.898848
04-0145_f2_0003_6500.34_105.98,6500.34,105.98,0.984285
04-0145_f2_0003_6464.09_104.689,6464.09,104.689,1.24512
04-0145_f2_0003_6512.51_104.766,6512.51,104.766,0.587929
04-0145_f2_0003_6527.53_103.447,6527.53,103.447,1.19512
04-0145_f2_0003_6534.14_106.055,6534.14,106.055,-1.39383
04-0145_f2_0003_6476.17_105.086,6476.17,105.086,1.14476
04-0145_f2_0003_6538.22_102.71,6538.22,102.71,-1.15369
04-0145_f2_0003_6472.21_102.407,6472.21,102.407,1.15754
04-0145_f2_0003_6494.03_104.599,6494.03,104.599,1.44199
04-0145_f2_0003_6518.42_104.035,6518.42,104.035,1.2033
04-0145_f2_0003_6489.76_101.967,6489.76,101.967,-1.55379
04-0145_f2_0003_6507.78_103.134,6507.78,103.134,0.905926
04-0145_f2_0003_6459.15_101.566,6459.15,101.566,1.08993
04-0145_f2_0003_6483.28_100.412,6483.28,100.412,0.961145
04-0145_f2_0003_6498.56_101.408,6498.56,101.408,1.24768
04-0145_f2_0003_6504.56_100.114,6504.56,100.114,1.16727
04-0145_f2_0003_6516.32_99.8352,6516.32,99.8352,1.23565
04-0145_f2_0003_6469.36_99.2079,6469.36,99.2079,1.10496
04-0145_f2_0003_6477.94_98.5792,6477.94,98.5792,0.952866
04-0145_f2_0003_6453.55_97.3174,6453.55,97.3174,1.07239
04-0145_f2_0003_6448.1_98.1409,6448.1,98.1409,-0.422269
04-0145_f2_0003_6491.93_98.3721,6491.93,98.3721,-1.38029
04-0145_f2_0003_6524.54_98.2353,6524.54,98.2353,-1.21757
04-0145_f2_0003_6512.05_97.2498,6512.05,97.2498,1.10634
04-0145_f2_0003_6465.77_96.0745,6465.77,96.0745,1.02298
04-0145_f2_0003_6542.39_95.6024,6542.39,95.6024,0.835642
04-0145_f2_0003_6501.49_95.1107,6501.49,95.1107,1.37452
04-0145_f2_0003_6533.66_95.3672,6533.66,95.3672,1.13159
04-0145_f2_0003_6460.27_93.6258,6460.27,93.6258,1.04169
04-0145_f2_0003_6475.4_95.3494,6475.4,95.3494,1.01403
04-0145_f2_0003_6488.2_94.1647,6488.2,94.1647,0.909831
04-0145_f2_0003_6494.83_95.0255,6494.83,95.0255,-1.39897
04-0145_f2_0003_6528.58_95.5521,6528.58,95.5521,-1.55501
04-0145_f2_0003_6481.28_93.8809,6481.28,93.8809,-1.41967
04-0145_f2_0003_6509.21_93.3031,6509.21,93.3031,1.18876
04-0145_f2_0003_6515.78_93.4391,6515.78,93.4391,1.38837
04-0145_f2_0003_6525.38_92.6844,6525.38,92.6844,0.860357
04-0145_f2_0003_6447.42_90.9731,6447.42,90.9731,-1.41351
04-0145_f2_0003_6537.87_90.3116,6537.87,90.3116,0.761274
04-0145_f2_0003_6531.66_91.7781,6531.66,91.7781,0.9732
04-0145_f2_0003_6492.48_90.3139,6492.48,90.3139,1.28887
04-0145_f2_0003_6500.88_90.9836,6500.88,90.9836,1.35375
04-0145_f2_0003_6467.18_89.2561,6467.18,89.2561,-0.979686
04-0145_f2_0003_6506.44_88.3901,6506.44,88.3901,0.193131
04-0145_f2_0003_6519.3_89.6988,6519.3,89.6988,-1.39874
04-0145_f2_0003_6459.05_88.0164,6459.05,88.0164,0.895477
04-0145_f2_0003_6486.95_88.1885,6486.95,88.1885,0.932924
04-0145_f2_0003_6480.16_88.7446,6480.16,88.7446,0.958322
04-0145_f2_0003_6512.92_88.3788,6512.92,88.3788,1.28894
04-0145_f2_0003_6453.9_85.3892,6453.9,85.3892,0.643946
04-0145_f2_0003_6524.58_87.507,6524.58,87.507,1.2105
04-0145_f2_0003_6473.67_87.2271,6473.67,87.2271,1.17296
04-0145_f2_0003_6532.14_87.6334,6532.14,87.6334,-1.31764
04-0145_f2_0003_6496.97_85.7949,6496.97,85.7949,1.45883
04-0145_f2_0003_6470.09_84.7476,6470.09,84.7476,1.22561
04-0145_f2_0003_6491.12_84.2805,6491.12,84.2805,-1.45035
04-0145_f2_0003_6503.91_83.7165,6503.91,83.7165,1.19123
04-0145_f2_0003_6511.95_84.2022,6511.95,84.2022,1.41231
04-0145_f2_0003_6449.6_82.8683,6449.6,82.8683,0.933186
04-0145_f2_0003_6479.66_83.5161,6479.66,83.5161,0.953135
04-0145_f2_0003_6519.87_82.1686,6519.87,82.1686,1.31679
04-0145_f2_0003_6432.5_80.7446,6432.5,80.7446,0.888778
04-0145_f2_0003_6466.49_81.6915,6466.49,81.6915,-1.55506
04-0145_f2_0003_6474.86_82.4827,6474.86,82.4827,1.02992
04-0145_f2_0003_6495.78_81.5572,6495.78,81.5572,1.4025
04-0145_f2_0003_6529.32_80.7622,6529.32,80.7622,1.18802
04-0145_f2_0003_6426.86_80.1119,6426.86,80.1119,0.189714
04-0145_f2_0003_6461.14_79.149,6461.14,79.149,-1.5607
04-0145_f2_0003_6489.77_80.1395,6489.77,80.1395,1.20295
04-0145_f2_0003_6447.8_79.1239,6447.8,79.1239,1.02431
04-0145_f2_0003_6503.06_80.1611,6503.06,80.1611,1.28829
04-0145_f2_0003_6483.88_79.3941,6483.88,79.3941,1.1885
04-0145_f2_0003_6527.14_77.1585,6527.14,77.1585,1.17029
04-0145_f2_0003_6478.94_78.4097,6478.94,78.4097,1.407
04-0145_f2_0003_6456.94_73.9832,6456.94,73.9832,0.216208
04-0145_f2_0003_6467.84_77.4063,6467.84,77.4063,1.43617
04-0145_f2_0003_6473.92_76.8376,6473.92,76.8376,1.25769
04-0145_f2_0003_6494.37_76.3781,6494.37,76.3781,-1.40249
04-0145_f2_0003_6511.59_76.3574,6511.59,76.3574,-1.5209
04-0145_f2_0003_6429.98_76.0656,6429.98,76.0656,1.07979
04-0145_f2_0003_6505.76_75.9178,6505.76,75.9178,1.34298
04-0145_f2_0003_6419.32_72.5727,6419.32,72.5727,-1.33032
04-0145_f2_0003_6447.17_73.9978,6447.17,73.9978,1.01957
04-0145_f2_0003_6500.91_74.3191,6500.91,74.3191,1.23012
04-0145_f2_0003_6520.24_73.3934,6520.24,73.3934,1.50618
04-0145_f2_0003_6484.88_71.7394,6484.88,71.7394,1.34136
04-0145_f2_0003_6427.92_71.1152,6427.92,71.1152,1.03076
04-0145_f2_0003_6466.76_71.2375,6466.76,71.2375,-1.09648
04-0145_f2_0003_6474.66_72.5058,6474.66,72.5058,0.873332
04-0145_f2_0003_6510.96_72.015,6510.96,72.015,1.39007
04-0145_f2_0003_6498.09_68.3403,6498.09,68.3403,1.39356
04-0145_f2_0003_6470.65_68.2004,6470.65,68.2004,-1.43749
04-0145_f2_0003_6423.21_68.6744,6423.21,68.6744,0.056964
04-0145_f2_0003_6462.23_68.1305,6462.23,68.1305,1.22576
04-0145_f2_0003_6451.62_68.1425,6451.62,68.1425,1.42717
04-0145_f2_0003_6521.5_67.233,6521.5,67.233,1.47234
04-0145_f2_0003_6411.53_65.2293,6411.53,65.2293,-0.067911
04-0145_f2_0003_6419.55_67.4235,6419.55,67.4235,-0.082357
04-0145_f2_0003_6479.72_65.2459,6479.72,65.2459,1.45898
04-0145_f2_0003_6457.37_65.5569,6457.37,65.5569,1.28658
04-0145_f2_0003_6434.54_64.3355,6434.54,64.3355,0.9678
04-0145_f2_0003_6446.46_64.8878,6446.46,64.8878,1.25766
04-0145_f2_0003_6467.42_62.2575,6467.42,62.2575,1.31242
04-0145_f2_0003_6416.55_62.693,6416.55,62.693,-0.824948
