UniqID_NUCL,N_COM_X,N_COM_Y,N_Orient
08-0263_f2_0017_5340.89_1541.02,5340.89,1541.02,0.054495
08-0263_f2_0017_5346.58_1541.43,5346.58,1541.43,0.374697
08-0263_f2_0017_5324.84_1537.17,5324.84,1537.17,0.390513
08-0263_f2_0017_5360.61_1537.45,5360.61,1537.45,-0.564628
08-0263_f2_0017_5335.71_1537.05,5335.71,1537.05,0.027752
08-0263_f2_0017_5320.6_1535.06,5320.6,1535.06,0.382124
08-0263_f2_0017_5328.37_1537.8,5328.37,1537.8,0.393851
08-0263_f2_0017_5315.84_1533.8,5315.84,1533.8,0.53038
08-0263_f2_0017_5459.66_1535.37,5459.66,1535.37,-0.16364
08-0263_f2_0017_5310.08_1533.64,5310.08,1533.64,0.651317
08-0263_f2_0017_5367.2_1531.37,5367.2,1531.37,-0.515074
08-0263_f2_0017_5452.02_1532.08,5452.02,1532.08,-0.378784
08-0263_f2_0017_5466.36_1529.64,5466.36,1529.64,-1.4691
08-0263_f2_0017_5372.93_1529.56,5372.93,1529.56,-0.588606
08-0263_f2_0017_5441.94_1529.1,5441.94,1529.1,0.158958
08-0263_f2_0017_5378.37_1527.9,5378.37,1527.9,0.43084
08-0263_f2_0017_5436.75_1527.38,5436.75,1527.38,0.407096
08-0263_f2_0017_5308.67_1529.12,5308.67,1529.12,0.715991
08-0263_f2_0017_5384.32_1524.69,5384.32,1524.69,-0.679787
08-0263_f2_0017_5314.8_1527.24,5314.8,1527.24,0.51824
08-0263_f2_0017_5472.06_1525.49,5472.06,1525.49,-1.05477
08-0263_f2_0017_5321.08_1527.06,5321.08,1527.06,0.73071
08-0263_f2_0017_5305.39_1526.82,5305.39,1526.82,0.43298
08-0263_f2_0017_5447.9_1526.66,5447.9,1526.66,0.472547
08-0263_f2_0017_5300.62_1525.52,5300.62,1525.52,0.520223
08-0263_f2_0017_5434.69_1523.91,5434.69,1523.91,0.585662
08-0263_f2_0017_5287.6_1525.8,5287.6,1525.8,1.05852
08-0263_f2_0017_5427.68_1525.18,5427.68,1525.18,0.865348
08-0263_f2_0017_5311.82_1525.27,5311.82,1525.27,0.745657
08-0263_f2_0017_5464.37_1524.04,5464.37,1524.04,-0.643572
08-0263_f2_0017_5478.17_1521.56,5478.17,1521.56,-0.145186
08-0263_f2_0017_5292.82_1524.34,5292.82,1524.34,0.553002
08-0263_f2_0017_5390.64_1518.91,5390.64,1518.91,-0.425551
08-0263_f2_0017_5308.69_1522.37,5308.69,1522.37,0.952978
08-0263_f2_0017_5286.71_1521.44,5286.71,1521.44,0.583092
08-0263_f2_0017_5298.3_1520.02,5298.3,1520.02,0.660086
08-0263_f2_0017_5397.8_1522.19,5397.8,1522.19,0.698876
08-0263_f2_0017_5385.04_1519.02,5385.04,1519.02,-0.461219
08-0263_f2_0017_5441.85_1518.43,5441.85,1518.43,0.423695
08-0263_f2_0017_5483.51_1518.45,5483.51,1518.45,-0.207236
08-0263_f2_0017_5433.13_1518.13,5433.13,1518.13,0.244649
08-0263_f2_0017_5279.21_1519.81,5279.21,1519.81,1.4798
08-0263_f2_0017_5307.08_1518.08,5307.08,1518.08,0.839412
08-0263_f2_0017_5426.49_1519.22,5426.49,1519.22,1.31652
08-0263_f2_0017_5292.42_1517.73,5292.42,1517.73,0.993093
08-0263_f2_0017_5474.63_1517.34,5474.63,1517.34,-0.4597
08-0263_f2_0017_5271.36_1517.15,5271.36,1517.15,-0.679409
08-0263_f2_0017_5417.98_1514.56,5417.98,1514.56,-0.013469
08-0263_f2_0017_5421.49_1519.06,5421.49,1519.06,1.01418
08-0263_f2_0017_5302.89_1517.62,5302.89,1517.62,0.243767
08-0263_f2_0017_5284.98_1517.21,5284.98,1517.21,0.746877
08-0263_f2_0017_5411.67_1512.7,5411.67,1512.7,0.17558
08-0263_f2_0017_5266.17_1514.19,5266.17,1514.19,1.39826
08-0263_f2_0017_5317.39_1515.93,5317.39,1515.93,0.857103
08-0263_f2_0017_5278.03_1515.08,5278.03,1515.08,0.937885
