UniqID_NUCL,N_COM_X,N_COM_Y,N_Orient
08-0241_f1_0021_12116.3_4072.02,12116.3,4072.02,-0.977543
08-0241_f1_0021_12122.1_4068.61,12122.1,4068.61,0.693073
08-0241_f1_0021_12100.6_4065.21,12100.6,4065.21,0.212948
08-0241_f1_0021_12138.1_4064.02,12138.1,4064.02,0.360901
08-0241_f1_0021_12106.5_4063.01,12106.5,4063.01,1.16675
08-0241_f1_0021_12093_4059.31,12093,4059.31,0.488792
08-0241_f1_0021_12097.7_4059.98,12097.7,4059.98,0.215987
08-0241_f1_0021_12153_4057.61,12153,4057.61,0.832672
08-0241_f1_0021_12127.7_4056.26,12127.7,4056.26,-0.446844
08-0241_f1_0021_12113.5_4057.08,12113.5,4057.08,1.33032
08-0241_f1_0021_12080.9_4056.76,12080.9,4056.76,0.192157
08-0241_f1_0021_12089.5_4052.05,12089.5,4052.05,-1.08224
08-0241_f1_0021_12148.1_4054.91,12148.1,4054.91,-0.365347
08-0241_f1_0021_12161.5_4055.41,12161.5,4055.41,0.299434
08-0241_f1_0021_12081_4051.99,12081,4051.99,1.09064
08-0241_f1_0021_12154.9_4049.88,12154.9,4049.88,-1.40364
08-0241_f1_0021_12084_4047.93,12084,4047.93,0.588257
08-0241_f1_0021_12076.6_4044.44,12076.6,4044.44,0.585319
08-0241_f1_0021_12080.6_4045.01,12080.6,4045.01,0.25892
08-0241_f1_0021_12163.9_4039.05,12163.9,4039.05,1.3243
08-0241_f1_0021_12179.2_4040.56,12179.2,4040.56,-0.68106
08-0241_f1_0021_12084.8_4041.15,12084.8,4041.15,0.588994
08-0241_f1_0021_12074.4_4036.51,12074.4,4036.51,1.32342
08-0241_f1_0021_12184.5_4035.32,12184.5,4035.32,-1.51401
08-0241_f1_0021_12182.5_4029.08,12182.5,4029.08,1.31914
08-0241_f1_0021_12194.7_4025.69,12194.7,4025.69,-1.31108
08-0241_f1_0021_12204.5_4024.11,12204.5,4024.11,0.056153
08-0241_f1_0021_12192.7_4022.53,12192.7,4022.53,1.24352
08-0241_f1_0021_12211.7_4022.05,12211.7,4022.05,-0.464774
08-0241_f1_0021_12079.6_4015.4,12079.6,4015.4,0.095766
08-0241_f1_0021_12228.6_4014.45,12228.6,4014.45,-0.705662
08-0241_f1_0021_12072_4013.04,12072,4013.04,-0.266586
08-0241_f1_0021_12209.5_4011.36,12209.5,4011.36,0.34572
08-0241_f1_0021_12238.1_4006.87,12238.1,4006.87,-0.060438
08-0241_f1_0021_12224.4_4008.32,12224.4,4008.32,0.385867
08-0241_f1_0021_12094.5_4007.03,12094.5,4007.03,-0.879904
08-0241_f1_0021_12180.3_4007.76,12180.3,4007.76,1.37301
08-0241_f1_0021_12244.8_4004.37,12244.8,4004.37,-0.476955
